sample_id,sample_date,stream_ion,ion_conc
Q1,1988-03-29,NO3-N,291
Q1,1988-03-29,K,1.13
Q1,1988-03-29,Mg,1.47
Q1,1988-03-29,Ca,3.22
Q1,1988-03-29,NH4-N,7
Q1,1988-03-29,NO3-N,283
Q1,1988-03-29,K,0.86
Q1,1988-03-29,Mg,1.7
Q1,1988-03-29,Ca,2.72
Q1,1988-03-29,NH4-N,10
Q1,1988-03-29,NO3-N,239
Q1,1988-03-29,K,1.07
Q1,1988-03-29,Mg,1.09
Q1,1988-03-29,Ca,1.31
Q1,1988-03-29,NH4-N,20
Q1,1988-03-29,NO3-N,291
Q1,1988-03-29,K,1.07
Q1,1988-03-29,Mg,1.11
Q1,1988-03-29,Ca,1.29
Q1,1988-03-29,NH4-N,8
Q1,1988-03-29,NO3-N,300
Q1,1988-03-29,K,1.17
Q1,1988-03-29,Mg,1.49
Q1,1988-03-29,Ca,3.7
Q1,1988-03-29,NH4-N,13
Q1,1988-03-29,NO3-N,261
Q1,1988-03-29,K,1.11
Q1,1988-03-29,Mg,1.16
Q1,1988-03-29,Ca,1.38
Q1,1988-03-29,NH4-N,31
Q1,1988-03-29,NO3-N,265
Q1,1988-03-29,K,1.06
Q1,1988-03-29,Mg,1.19
Q1,1988-03-29,Ca,1.34
Q1,1988-03-29,NH4-N,16
Q1,1988-03-29,NO3-N,252
Q1,1988-04-05,K,0.82
Q1,1988-04-05,Mg,2.31
Q1,1988-04-05,Ca,2.75
Q1,1988-04-05,NH4-N,26
Q1,1988-04-05,NO3-N,135
Q1,1988-04-12,K,0.71
Q1,1988-04-12,Mg,2.77
Q1,1988-04-12,Ca,4.22
Q1,1988-04-12,NH4-N,34
Q1,1988-04-12,NO3-N,141
Q1,1988-04-19,K,0.85
Q1,1988-04-19,Mg,2.57
Q1,1988-04-19,Ca,3.82
Q1,1988-04-19,NH4-N,16
Q1,1988-04-19,NO3-N,150
Q1,1988-04-26,K,0.74
Q1,1988-04-26,Mg,2.87
Q1,1988-04-26,Ca,4.3
Q1,1988-04-26,NH4-N,28
Q1,1988-04-26,NO3-N,142
Q1,1988-05-03,K,0.75
Q1,1988-05-03,Mg,2.82
Q1,1988-05-03,Ca,4.18
Q1,1988-05-03,NH4-N,65
Q1,1988-05-03,NO3-N,139
Q1,1988-05-10,K,1.19
Q1,1988-05-10,Mg,2.24
Q1,1988-05-10,Ca,3.6
Q1,1988-05-10,NH4-N,69
Q1,1988-05-10,NO3-N,142
Q1,1988-05-10,K,1.2
Q1,1988-05-10,Mg,1.44
Q1,1988-05-10,Ca,2.58
Q1,1988-05-10,NH4-N,10
Q1,1988-05-10,NO3-N,203
Q1,1988-05-17,Mg,1.12
Q1,1988-05-17,Ca,1.12
Q1,1988-05-17,NH4-N,237
Q1,1988-05-17,NO3-N,148
Q1,1988-05-24,K,0.75
Q1,1988-05-24,Mg,1.2
Q1,1988-05-24,Ca,1.34
Q1,1988-05-24,NH4-N,63
Q1,1988-05-24,NO3-N,149
Q1,1988-05-31,K,0.9
Q1,1988-05-31,Mg,2.57
Q1,1988-05-31,Ca,3.16
Q1,1988-05-31,NH4-N,61
Q1,1988-05-31,NO3-N,156
Q1,1988-06-07,K,0.8
Q1,1988-06-07,Mg,2.91
Q1,1988-06-07,Ca,3.58
Q1,1988-06-07,NH4-N,59
Q1,1988-06-07,NO3-N,147
Q1,1988-06-14,K,0.79
Q1,1988-06-14,Mg,2.85
Q1,1988-06-14,Ca,3.53
Q1,1988-06-14,NH4-N,68
Q1,1988-06-21,K,0.81
Q1,1988-06-21,Mg,1.95
Q1,1988-06-21,Ca,2.66
Q1,1988-06-21,NH4-N,158
Q1,1988-06-28,K,0.71
Q1,1988-06-28,Mg,2.71
Q1,1988-06-28,Ca,4.87
Q1,1988-07-05,K,0.78
Q1,1988-07-05,Mg,2.84
Q1,1988-07-05,Ca,3.41
Q1,1988-07-12,Mg,0.54
Q1,1988-07-19,K,0.73
Q1,1988-07-19,Mg,1.84
Q1,1988-07-19,Ca,2.54
Q1,1988-07-22,K,0.82
Q1,1988-07-22,Mg,2.47
Q1,1988-07-22,Ca,3.2
Q1,1988-07-26,K,0.71
Q1,1988-07-26,Mg,1.65
Q1,1988-07-26,Ca,2.43
Q1,1988-08-02,K,0.73
Q1,1988-08-02,Mg,2.9
Q1,1988-08-02,Ca,3.48
Q1,1988-08-09,K,0.81
Q1,1988-08-09,Mg,2.92
Q1,1988-08-09,Ca,3.56
Q1,1988-08-16,K,0.84
Q1,1988-08-16,Mg,2.85
Q1,1988-08-16,Ca,3.49
Q1,1988-08-16,NH4-N,16
Q1,1988-08-23,K,0.87
Q1,1988-08-23,Mg,2.71
Q1,1988-08-23,Ca,3.95
Q1,1988-08-23,NO3-N,135
Q1,1988-08-24,K,0.76
Q1,1988-08-24,Mg,0.86
Q1,1988-08-24,Ca,1.23
Q1,1988-08-24,NO3-N,8
Q1,1988-08-24,NO3-N,7
Q1,1988-08-24,K,0.77
Q1,1988-08-24,Ca,1.79
Q1,1988-08-24,K,0.48
Q1,1988-08-24,Mg,0.47
Q1,1988-08-24,Ca,0.75
Q1,1988-08-24,NO3-N,11
Q1,1988-08-24,K,0.9
Q1,1988-08-24,Mg,0.79
Q1,1988-08-24,Ca,1.32
Q1,1988-08-24,NO3-N,10
Q1,1988-08-30,K,0.78
Q1,1988-08-30,Mg,2.62
Q1,1988-08-30,Ca,3.29
Q1,1988-08-30,NO3-N,150
Q1,1988-09-06,K,0.69
Q1,1988-09-06,Mg,2.76
Q1,1988-09-06,Ca,3.9
Q1,1988-09-06,NH4-N,15
Q1,1988-09-06,NO3-N,120
Q1,1988-09-13,K,0.79
Q1,1988-09-13,Mg,1.53
Q1,1988-09-13,Ca,0.7
Q1,1988-09-13,NO3-N,192
Q1,1988-09-20,K,0.75
Q1,1988-09-20,Mg,2.64
Q1,1988-09-20,Ca,3.75
Q1,1988-09-20,NH4-N,47
Q1,1988-09-20,NO3-N,150
Q1,1988-09-27,K,0.71
Q1,1988-09-27,Mg,2.66
Q1,1988-09-27,Ca,4.21
Q1,1988-09-27,NO3-N,149
Q1,1988-10-04,K,0.73
Q1,1988-10-04,Mg,2.09
Q1,1988-10-04,Ca,3.05
Q1,1988-10-04,NH4-N,59
Q1,1988-10-04,NO3-N,43
Q1,1988-10-11,K,0.75
Q1,1988-10-11,Mg,2.58
Q1,1988-10-11,Ca,5.02
Q1,1988-10-11,NH4-N,49
Q1,1988-10-11,NO3-N,151
Q1,1988-10-18,NH4-N,46
Q1,1988-10-18,NO3-N,154
Q1,1988-10-25,K,0.88
Q1,1988-10-25,Mg,2.56
Q1,1988-10-25,Ca,3.97
Q1,1988-10-25,NO3-N,146
Q1,1988-11-01,K,0.86
Q1,1988-11-01,Mg,2.72
Q1,1988-11-01,Ca,4.28
Q1,1988-11-01,NO3-N,143
Q1,1988-11-07,K,0.87
Q1,1988-11-07,Mg,2.73
Q1,1988-11-07,Ca,4.34
Q1,1988-11-07,NO3-N,137
Q1,1988-11-15,K,0.99
Q1,1988-11-15,Mg,2.68
Q1,1988-11-15,Ca,4.22
Q1,1988-11-15,NO3-N,130
Q1,1988-11-22,K,0.86
Q1,1988-11-22,Mg,2.31
Q1,1988-11-22,Ca,3.82
Q1,1988-11-22,NO3-N,139
Q1,1988-11-29,K,0.82
Q1,1988-11-29,Mg,2.8
Q1,1988-11-29,Ca,4.2
Q1,1988-11-29,NO3-N,139
Q1,1988-12-06,K,0.82
Q1,1988-12-06,Mg,2.5
Q1,1988-12-06,Ca,4.24
Q1,1988-12-06,NO3-N,139
Q1,1988-12-13,K,1.05
Q1,1988-12-13,Mg,2.65
Q1,1988-12-13,Ca,4.23
Q1,1988-12-13,NO3-N,149
Q1,1988-12-20,K,0.93
Q1,1988-12-20,Mg,2.75
Q1,1988-12-20,Ca,4.26
Q1,1988-12-20,NO3-N,156
Q1,1988-12-27,K,0.93
Q1,1988-12-27,Mg,2.68
Q1,1988-12-27,Ca,4.15
Q1,1988-12-27,NO3-N,156
Q1,1989-01-03,K,0.23
Q1,1989-01-03,Mg,0.49
Q1,1989-01-10,K,0.97
Q1,1989-01-10,Mg,2.49
Q1,1989-01-10,Ca,4.09
Q1,1989-01-10,NO3-N,221
Q1,1989-01-17,K,0.99
Q1,1989-01-17,Mg,2.73
Q1,1989-01-17,Ca,4.43
Q1,1989-01-17,NO3-N,10
Q1,1989-01-24,K,0.96
Q1,1989-01-24,Mg,2.79
Q1,1989-01-24,Ca,4.4
Q1,1989-01-24,NO3-N,155
Q1,1989-01-31,K,0.99
Q1,1989-01-31,Mg,2.87
Q1,1989-01-31,Ca,4.48
Q1,1989-01-31,NO3-N,171
Q1,1989-02-07,K,0.95
Q1,1989-02-07,Mg,2.78
Q1,1989-02-07,Ca,4.5
Q1,1989-02-07,NO3-N,176
Q1,1989-02-14,K,0.78
Q1,1989-02-14,Mg,2.94
Q1,1989-02-14,Ca,4.32
Q1,1989-02-14,NO3-N,179
Q1,1989-02-21,K,0.85
Q1,1989-02-21,Mg,2.77
Q1,1989-02-21,Ca,4.18
Q1,1989-02-21,NO3-N,159
Q1,1989-02-28,K,0.94
Q1,1989-02-28,Mg,2.64
Q1,1989-02-28,Ca,3.94
Q1,1989-02-28,NO3-N,159
Q1,1989-03-07,K,0.83
Q1,1989-03-07,Mg,2.91
Q1,1989-03-07,Ca,4.29
Q1,1989-03-07,NO3-N,152
Q1,1989-03-14,NO3-N,10
Q1,1989-03-14,K,0.89
Q1,1989-03-14,Mg,2.62
Q1,1989-03-14,Ca,4.1
Q1,1989-03-21,K,0.79
Q1,1989-03-21,Mg,2.88
Q1,1989-03-21,Ca,4.05
Q1,1989-03-21,NO3-N,148
Q1,1989-03-28,K,0.79
Q1,1989-03-28,Mg,2.82
Q1,1989-03-28,Ca,3.98
Q1,1989-03-28,NO3-N,147
Q1,1989-04-04,K,0.82
Q1,1989-04-04,Mg,2.76
Q1,1989-04-04,Ca,3.51
Q1,1989-04-04,NO3-N,146
Q1,1989-04-11,K,0.84
Q1,1989-04-11,Mg,2.38
Q1,1989-04-11,Ca,4.29
Q1,1989-04-11,NO3-N,143
Q1,1989-04-18,K,0.78
Q1,1989-04-18,Mg,2.79
Q1,1989-04-18,Ca,4.92
Q1,1989-04-18,NO3-N,114
Q1,1989-04-25,K,0.88
Q1,1989-04-25,Mg,2.74
Q1,1989-04-25,Ca,4.92
Q1,1989-04-25,NO3-N,147
Q1,1989-05-02,K,0.91
Q1,1989-05-02,Mg,2.8
Q1,1989-05-02,Ca,4.96
Q1,1989-05-02,NO3-N,135
Q1,1989-05-09,K,0.99
Q1,1989-05-09,Mg,2.61
Q1,1989-05-09,Ca,4.62
Q1,1989-05-09,NO3-N,148
Q1,1989-05-16,K,0.89
Q1,1989-05-16,Mg,2.87
Q1,1989-05-16,Ca,4.75
Q1,1989-05-16,NO3-N,149
Q1,1989-05-23,K,0.86
Q1,1989-05-23,Mg,2.89
Q1,1989-05-23,Ca,4.81
Q1,1989-05-23,NO3-N,142
Q1,1989-05-30,K,0.88
Q1,1989-05-30,Mg,2.96
Q1,1989-05-30,Ca,4.74
Q1,1989-05-30,NO3-N,144
Q1,1989-06-06,K,1.4
Q1,1989-06-06,Mg,4.97
Q1,1989-06-06,Ca,5.22
Q1,1989-06-06,NO3-N,134
Q1,1989-06-13,K,0.82
Q1,1989-06-13,Mg,2.06
Q1,1989-06-13,Ca,4.83
Q1,1989-06-13,NO3-N,129
Q1,1989-06-20,K,0.81
Q1,1989-06-20,Mg,3.08
Q1,1989-06-20,Ca,4.3
Q1,1989-06-20,NO3-N,141
