sample_id,sample_date,stream_ion,ion_conc
MPR,1992-01-14,NO3-N,149
MPR,1992-01-21,K,0.79
MPR,1992-01-21,Mg,2.26
MPR,1992-01-21,Ca,9.51
MPR,1992-01-21,NO3-N,109
MPR,1992-01-28,K,0.77
MPR,1992-01-28,Mg,2.16
MPR,1992-01-28,Ca,9.06
MPR,1992-01-28,NO3-N,94
MPR,1992-02-04,K,0.88
MPR,1992-02-04,Mg,2.04
MPR,1992-02-04,Ca,9.2
MPR,1992-02-04,NO3-N,179
MPR,1992-02-11,K,0.9
MPR,1992-02-11,Mg,2.52
MPR,1992-02-11,Ca,10.78
MPR,1992-02-11,NO3-N,56
MPR,1992-02-18,K,0.95
MPR,1992-02-18,Mg,2.76
MPR,1992-02-18,Ca,11.37
MPR,1992-02-18,NO3-N,35
MPR,1992-02-25,K,0.9
MPR,1992-02-25,Mg,2.02
MPR,1992-02-25,Ca,15.31
MPR,1992-02-25,NO3-N,205
MPR,1992-03-03,K,0.82
MPR,1992-03-03,Mg,1.96
MPR,1992-03-03,Ca,15.81
MPR,1992-03-03,NO3-N,201
MPR,1992-03-10,K,1.67
MPR,1992-03-10,Mg,2.33
MPR,1992-03-10,Ca,11.05
MPR,1992-03-10,NO3-N,109
MPR,1992-03-17,K,0.92
MPR,1992-03-17,Mg,2.23
MPR,1992-03-17,Ca,8.29
MPR,1992-03-17,NO3-N,112
MPR,1992-03-24,K,0.93
MPR,1992-03-24,Mg,1.59
MPR,1992-03-24,Ca,2.61
MPR,1992-04-01,K,1.1
MPR,1992-04-01,Mg,1.75
MPR,1992-04-01,Ca,8.54
MPR,1992-04-01,NO3-N,52
MPR,1992-04-07,K,1.06
MPR,1992-04-07,Mg,3.47
MPR,1992-04-07,Ca,4.88
MPR,1992-04-07,NO3-N,105
MPR,1992-04-14,K,0.23
MPR,1992-04-14,Mg,7.21
MPR,1992-04-14,NO3-N,48
MPR,1992-04-21,K,0.64
MPR,1992-04-21,Mg,2.2
MPR,1992-04-21,Ca,8.43
MPR,1992-04-21,NO3-N,27
MPR,1992-04-28,K,1.11
MPR,1992-04-28,Mg,2.54
MPR,1992-04-28,Ca,9.9
MPR,1992-04-28,NO3-N,54
MPR,1992-05-05,K,0.73
MPR,1992-05-05,Mg,1.73
MPR,1992-05-05,Ca,8.18
MPR,1992-05-05,NO3-N,100
MPR,1992-05-12,K,0.86
MPR,1992-05-12,Mg,1.97
MPR,1992-05-12,Ca,8.19
MPR,1992-05-12,NO3-N,28
MPR,1992-05-19,K,0.93
MPR,1992-05-19,Mg,2.21
MPR,1992-05-19,Ca,9.37
MPR,1992-05-19,NO3-N,97
MPR,1992-05-26,K,0.94
MPR,1992-05-26,Mg,1.42
MPR,1992-05-26,Ca,5.82
MPR,1992-06-02,K,0.59
MPR,1992-06-02,Mg,0.91
MPR,1992-06-02,Ca,3.47
MPR,1992-06-02,NO3-N,80
MPR,1992-06-09,K,0.89
MPR,1992-06-09,Mg,2.15
MPR,1992-06-09,Ca,8.57
MPR,1992-06-09,NO3-N,14
MPR,1992-06-16,K,0.77
MPR,1992-06-16,Mg,1.23
MPR,1992-06-16,Ca,4.49
MPR,1992-06-16,NO3-N,35
MPR,1992-06-23,K,0.71
MPR,1992-06-23,Mg,1.61
MPR,1992-06-23,Ca,5.92
MPR,1992-06-23,NO3-N,29
MPR,1992-06-30,K,0.86
MPR,1992-06-30,Mg,2.63
MPR,1992-06-30,Ca,10.24
MPR,1992-06-30,NO3-N,29
MPR,1992-07-07,K,0.94
MPR,1992-07-07,Mg,2.62
MPR,1992-07-07,Ca,10.17
MPR,1992-07-07,NO3-N,29
MPR,1992-07-14,K,0.84
MPR,1992-07-14,Mg,2.57
MPR,1992-07-14,Ca,10
MPR,1992-07-14,NO3-N,43
MPR,1992-07-21,K,0.74
MPR,1992-07-21,Mg,1.94
MPR,1992-07-21,Ca,7.21
MPR,1992-07-21,NO3-N,43
MPR,1992-07-28,K,0.83
MPR,1992-07-28,Mg,1.99
MPR,1992-07-28,Ca,8.38
MPR,1992-07-28,NO3-N,41
MPR,1992-08-04,K,0.8
MPR,1992-08-04,Mg,2.17
MPR,1992-08-04,Ca,8.43
MPR,1992-08-04,NO3-N,12
MPR,1992-08-11,K,0.56
MPR,1992-08-11,Mg,1
MPR,1992-08-11,Ca,4.01
MPR,1992-08-11,NO3-N,47
MPR,1992-08-18,K,0.69
MPR,1992-08-18,Mg,2.27
MPR,1992-08-18,Ca,8.96
MPR,1992-08-18,NO3-N,70
MPR,1992-08-25,K,0.88
MPR,1992-08-25,Mg,2.23
MPR,1992-08-25,Ca,9.1
MPR,1992-08-25,NO3-N,79
MPR,1992-09-01,K,1.12
MPR,1992-09-01,Mg,3.14
MPR,1992-09-01,Ca,11.62
MPR,1992-09-01,NO3-N,68
MPR,1992-09-08,K,0.89
MPR,1992-09-08,Mg,2.69
MPR,1992-09-08,Ca,10.03
MPR,1992-09-08,NO3-N,10
MPR,1992-09-15,K,1.16
MPR,1992-09-15,Mg,2.32
MPR,1992-09-15,Ca,9.85
MPR,1992-09-15,NO3-N,11
MPR,1992-09-22,K,0.66
MPR,1992-09-22,Mg,1.72
MPR,1992-09-22,Ca,6.96
MPR,1992-09-22,NO3-N,21
MPR,1992-09-29,K,0.7
MPR,1992-09-29,Mg,2.02
MPR,1992-09-29,Ca,8.6
MPR,1992-09-29,NO3-N,89
MPR,1992-10-06,K,0.75
MPR,1992-10-06,Mg,2.43
MPR,1992-10-06,Ca,9.92
MPR,1992-10-06,NO3-N,164
MPR,1992-10-13,K,0.75
MPR,1992-10-13,Mg,2.59
MPR,1992-10-13,Ca,11.18
MPR,1992-10-13,NO3-N,24
MPR,1992-10-20,K,0.71
MPR,1992-10-20,Mg,2.37
MPR,1992-10-20,Ca,9.45
MPR,1992-10-20,NO3-N,7
MPR,1992-10-27,K,1.36
MPR,1992-10-27,Mg,3.09
MPR,1992-10-27,Ca,13.78
MPR,1992-10-27,NO3-N,24
MPR,1992-11-03,K,0.54
MPR,1992-11-03,Mg,1.35
MPR,1992-11-03,Ca,6.32
MPR,1992-11-03,NO3-N,53
MPR,1992-11-10,K,0.54
MPR,1992-11-10,Mg,1
MPR,1992-11-10,Ca,3.59
MPR,1992-11-10,NO3-N,66
MPR,1992-11-17,K,0.6
MPR,1992-11-17,Mg,1.76
MPR,1992-11-17,Ca,6.54
MPR,1992-11-17,NO3-N,22
MPR,1992-11-24,K,0.67
MPR,1992-11-24,Mg,1.62
MPR,1992-11-24,Ca,6.2
MPR,1992-12-01,K,0.94
MPR,1992-12-01,Mg,1.91
MPR,1992-12-01,Ca,7.38
MPR,1992-12-01,NO3-N,37
MPR,1992-12-08,K,0.65
MPR,1992-12-08,Mg,1.99
MPR,1992-12-08,Ca,8.04
MPR,1992-12-08,NO3-N,19
MPR,1992-12-15,K,0.35
MPR,1992-12-15,Mg,1.45
MPR,1992-12-15,Ca,7.31
MPR,1992-12-15,NO3-N,14
MPR,1992-12-29,K,0.67
MPR,1992-12-29,Mg,1.7
MPR,1992-12-29,Ca,6.87
MPR,1993-01-05,K,0.76
MPR,1993-01-05,Mg,1.9
MPR,1993-01-05,Ca,7.55
MPR,1993-01-12,K,0.82
MPR,1993-01-12,Mg,2.06
MPR,1993-01-12,Ca,7.87
MPR,1993-01-19,K,0.59
MPR,1993-01-19,Mg,2.06
MPR,1993-01-19,Ca,7.93
MPR,1993-01-26,K,0.75
MPR,1993-01-26,Mg,2.02
MPR,1993-01-26,Ca,7.79
MPR,1993-02-02,K,0.78
MPR,1993-02-02,Mg,1.97
MPR,1993-02-02,Ca,7.66
MPR,1993-02-09,K,0.75
MPR,1993-02-09,Mg,2.22
MPR,1993-02-09,Ca,9.21
MPR,1993-02-16,K,0.53
MPR,1993-02-16,Mg,1.25
MPR,1993-02-16,Ca,5.59
MPR,1993-02-23,K,0.88
MPR,1993-02-23,Mg,2.09
MPR,1993-02-23,Ca,7.5
MPR,1993-03-02,K,0.64
MPR,1993-03-02,Mg,2.26
MPR,1993-03-02,Ca,9.12
MPR,1993-03-02,NO3-N,78
MPR,1993-03-09,K,0.91
MPR,1993-03-09,Mg,2.32
MPR,1993-03-09,Ca,9.09
MPR,1993-03-09,NO3-N,76
MPR,1993-03-16,K,0.78
MPR,1993-03-16,Mg,2.32
MPR,1993-03-16,Ca,8.53
MPR,1993-03-16,NO3-N,99
